"Date","Chrome","IE","Safari","Firefox","Android","Edge Legacy","Edge","Opera","Samsung Internet","BlackBerry","360 Safe Browser","Silk","UC Browser","IEMobile","Sony PS3","Mozilla","Nokia","AOL","Maxthon","Chromium","Sony PS4","NetFront","Puffin","Phantom","SeaMonkey","QQ Browser","Sony PSP","Unknown","Pale Moon","Openwave","Kindle","Yandex Browser","Nintendo 3DS","Coc Coc","TheWorld","Tencent Traveler","Other"
2010-10,9.66,48.59,11.59,25.36,1.22,0,0,0.69,0,1.68,0,0,0,0.01,0.3,0.13,0.06,0.2,0.04,0,0,0.09,0,0,0.03,0,0.04,0,0,0.05,0,0,0,0,0,0,0.27
2010-11,10.26,47.32,12,25.19,1.37,0,0,0.69,0,1.98,0,0,0,0.01,0.29,0.12,0.06,0.19,0.04,0,0,0.1,0,0,0.03,0,0.04,0,0,0.05,0,0,0,0,0,0,0.26
2010-12,11.68,45.33,12.33,25.29,1.54,0,0,0.68,0,1.95,0,0,0,0.01,0.32,0.12,0.06,0.17,0.04,0,0,0.1,0,0,0.03,0,0.04,0,0,0.06,0,0,0,0,0,0,0.26
2011-01,11.86,45.27,12.78,24.68,1.7,0,0,0.65,0,1.77,0,0,0,0.02,0.31,0.11,0.18,0.16,0.03,0,0,0.1,0,0,0.03,0,0.04,0,0,0.05,0,0,0,0,0,0,0.25
2011-02,12.58,44.37,13.03,24.84,1.84,0,0,0.63,0,1.47,0,0,0,0.04,0.29,0.09,0.19,0.15,0.03,0,0,0.1,0,0,0.03,0,0.04,0,0,0.05,0,0,0,0,0,0,0.24
2011-03,13.14,44.66,12.88,24.36,1.98,0,0,0.63,0,1.28,0,0,0,0.04,0.29,0.08,0.09,0.13,0.03,0,0,0.09,0,0,0.03,0,0.04,0,0,0.04,0,0,0,0,0,0,0.21
2011-04,13.65,43.98,13.07,23.71,2.13,0,0,0.68,0,1.61,0,0,0,0.04,0.3,0.07,0.17,0.13,0.03,0.01,0,0.09,0,0,0.02,0,0.04,0.01,0,0.04,0,0,0,0,0,0,0.23
2011-05,13.81,43.21,13.33,23.01,2.65,0,0,0.66,0,1.92,0,0,0,0.05,0.35,0.06,0.33,0.05,0.03,0.04,0,0.09,0,0,0.02,0,0.04,0.03,0,0.05,0,0,0,0,0,0,0.28
2011-06,14.74,42.73,13.54,22.67,2.82,0,0,0.63,0,1.33,0,0,0.01,0.05,0.32,0.04,0.47,0.05,0.03,0.04,0,0.08,0,0,0.02,0,0.05,0.02,0,0.05,0,0,0,0,0,0,0.3
2011-07,15.65,40.91,14.38,22.71,3.02,0,0,0.66,0,1.32,0,0,0.01,0.06,0.34,0.04,0.31,0.04,0.04,0.05,0,0.08,0,0,0.02,0,0.05,0,0,0.04,0,0,0,0,0,0,0.27
2011-08,16.29,41.53,13.8,22.38,3.09,0,0,0.67,0,1.07,0,0,0.01,0.06,0.33,0.03,0.22,0.04,0.03,0.05,0,0.08,0,0,0.03,0,0.05,0,0,0.04,0,0,0,0,0,0,0.23
2011-09,16.66,42.07,13.64,22.1,2.87,0,0,0.67,0,0.87,0,0,0.03,0.06,0.29,0.02,0.21,0.03,0.03,0.05,0,0.07,0,0,0.03,0,0.04,0,0,0.04,0,0,0,0,0,0,0.21
2011-10,17.21,42.86,13.63,20.89,2.93,0,0,0.64,0,0.71,0,0,0.23,0.07,0.26,0.02,0.06,0.03,0.03,0.05,0,0.06,0,0,0.03,0,0.04,0,0,0.03,0,0,0,0,0,0,0.22
2011-11,16.09,47.1,13,18.68,2.89,0,0,0.56,0,0.53,0,0,0.28,0.06,0.23,0.02,0.07,0.02,0.03,0.05,0,0.05,0,0,0.03,0,0.04,0,0,0.03,0,0,0,0,0,0,0.23
2011-12,17.24,44.42,13.97,18.56,3.41,0,0,0.61,0,0.52,0,0,0.33,0.07,0.23,0.01,0.07,0.02,0.03,0.08,0,0.06,0,0,0.03,0,0.05,0,0,0.03,0.01,0,0.01,0,0,0,0.24
2012-01,17.58,42.56,15.41,18.46,3.84,0,0,0.61,0,0.51,0,0,0.12,0.07,0.22,0.01,0.07,0.02,0.03,0.06,0,0.06,0,0,0.02,0,0.04,0,0,0.03,0.02,0,0.03,0,0,0,0.23
2012-02,20.04,37.73,15.98,19.96,3.9,0,0,1.15,0,0.47,0,0,0.05,0.08,0.06,0.02,0.08,0.01,0.03,0.05,0,0.05,0,0,0.02,0,0.03,0,0,0.03,0.02,0,0.02,0,0,0,0.22
2012-03,19.98,38.15,16.3,19.64,3.77,0,0,0.75,0,0.44,0,0.13,0.02,0.08,0.11,0.01,0.11,0.01,0.04,0.06,0,0.04,0,0,0.03,0,0.04,0,0,0.02,0.02,0,0.03,0,0,0,0.21
2012-04,20.3,37.9,16.44,19.2,3.77,0,0,0.75,0,0.38,0,0.28,0.01,0.08,0.21,0.02,0.14,0.01,0.05,0.05,0,0.04,0,0,0.03,0,0.04,0,0,0.02,0.02,0,0.04,0,0,0,0.21
2012-05,21.51,34.85,16.72,20.38,4.01,0,0,0.78,0,0.38,0,0.29,0.03,0.1,0.23,0.02,0.2,0.01,0.04,0.06,0,0.04,0,0,0.03,0,0.04,0,0,0.02,0.01,0,0.04,0,0,0,0.21
2012-06,21.23,37,16.34,18.73,4.03,0,0,0.85,0,0.35,0.04,0.3,0.02,0.1,0.24,0.02,0.19,0.01,0.04,0.06,0,0.04,0,0,0.03,0,0.04,0,0.03,0.02,0.02,0,0.04,0,0,0,0.22
2012-07,21.52,36.78,16.7,17.85,4.37,0,0,0.91,0,0.34,0.05,0.34,0.02,0.12,0.25,0.02,0.16,0.01,0.04,0.09,0,0.03,0,0,0.02,0,0.04,0.01,0.02,0.02,0.02,0,0.05,0,0,0,0.22
2012-08,20.93,38.22,17.31,16.7,4.39,0,0,0.62,0,0.3,0.05,0.33,0.01,0.13,0.25,0.01,0.16,0.01,0.04,0.1,0,0.03,0,0.01,0.02,0,0.04,0.01,0.03,0.02,0.02,0,0.05,0,0,0,0.22
2012-09,20.82,38.18,18.06,16.11,4.52,0,0,0.58,0,0.29,0.02,0.32,0.01,0.13,0.23,0.01,0.16,0.01,0.05,0.11,0,0.03,0,0.01,0.03,0,0.03,0.01,0.03,0.01,0.02,0,0.05,0,0,0,0.2
2012-10,21.31,36.95,18.64,16.11,4.63,0,0,0.56,0,0.27,0.03,0.29,0.14,0.12,0.24,0.01,0.18,0,0.04,0.07,0,0.03,0,0.02,0.02,0,0.03,0.01,0.03,0.01,0.01,0,0.04,0,0,0,0.18
